Release	Build	Date
392	4512	Thu Mar 24 16:36:51 2005 
391	4502	Sun Oct 10 17:39:35 2004 
390	4500	Mon Mar 15 14:47:18 2004 
389	4491	Sun Sep 21 09:47:29 2003
388	4490	Sun Feb 23 14:05:46 2003
387	4488	Sun Dec 15 10:37:33 2002
386	4484	Sun Dec 08 17:36:35 2002
385	4464	Sun Dec 01 16:58:32 2002
384	4441	Sat Nov 30 14:01:30 2002
383	4428	Sat Oct 05 19:14:11 2002
382	4418	Fri Sep 20 23:09:25 2002
381	4414	Sat Aug 31 21:34:55 2002
380	4383	Sat Oct 27 11:10:31 2001
379	4380	Sat Sep 22 18:39:43 2001
378	4378	Sat Sep 15 15:31:52 2001
377	4355	Tue Sep 11 22:41:37 2001
376	4335	Sat Sep 08 22:31:33 2001
375	4293	Sat Sep 01 16:21:13 2001
374	4275	Sun Aug 26 13:29:43 2001
373	4265	Sat Aug 25 17:15:19 2001
372	4235	Fri Aug 24 11:54:18 2001
371	4217	Thu Aug 23 23:49:26 2001
370	4197	Sat Aug 04 12:02:32 2001
369	4188	Sun Jul 08 13:14:10 2001
368	4172	Sun Jul 01 11:27:10 2001
367	4170	Wed May 09 20:56:15 2001
366	4167	Sun Apr 29 11:36:05 2001
365	4160	Sat Apr 28 20:04:58 2001
364	4125	Sun Apr 22 16:12:48 2001
363	4086	Sat Apr 21 22:55:12 2001
362	4084	Sat Apr 21 19:35:41 2001
361	4048	Tue Apr 17 00:03:49 2001
360	4028	Mon Apr 16 05:22:21 2001
359	3960	Sun Apr 08 12:55:37 2001
358	3952	Sat Mar 17 11:56:41 2001
357	3951	Tue Feb 20 18:28:26 2001
356	3950	Mon Feb 19 20:07:50 2001
355	3945	Sun Feb 18 20:33:22 2001
354	3935	Sun Feb 18 12:31:40 2001
353	3925	Sun Feb 18 01:54:56 2001
352	3884	Sun Feb 11 13:44:24 2001
351	3814	Sun Feb 04 14:38:59 2001
350	3810	Sun Feb 04 13:00:50 2001
349	3759	Fri Jan 26 13:35:24 2001
348	3749	Fri Jan 26 11:41:31 2001
347	3731	Thu Jan 25 23:34:59 2001
346	3723	Thu Jan 25 18:06:45 2001
345	3716	Thu Jan 25 15:52:43 2001
344	3708	Thu Jan 25 00:13:54 2001
343	3694	Wed Jan 24 20:58:55 2001
342	3665	Wed Jan 24 17:48:49 2001
341	3640	Tue Jan 23 23:40:28 2001
340	3637	Tue Jan 23 22:36:53 2001
339	3621	Tue Jan 23 11:18:00 2001
338	3601	Mon Jan 22 15:25:08 2001
337	3566	Mon Jan 22 00:49:26 2001
336	3519	Sun Jan 21 01:52:50 2001
335	3516	Sun Jan 21 01:15:40 2001
334	3507	Sat Jan 20 23:29:07 2001
333	3490	Sat Jan 20 15:42:43 2001
332	3468	Fri Jan 19 23:59:04 2001
331	3462	Fri Jan 19 17:48:07 2001
330	3418	Thu Jan 18 00:53:18 2001
329	3396	Wed Jan 17 19:47:00 2001
328	3352	Mon Jan 15 20:52:49 2001
327	3331	Mon Jan 15 14:18:51 2001
326	3304	Sun Jan 14 16:48:05 2001
325	3244	Sat Dec 16 15:15:20 2000
324	3234	Sun Dec 10 13:57:23 2000
323	3224	Sat Dec 09 17:54:59 2000
322	3219	Sat Dec 09 16:34:02 2000
321	3215	Fri Dec 08 23:32:19 2000
320	3208	Thu Dec 07 23:15:10 2000
319	3200	Thu Dec 07 20:07:05 2000
318	3165	Wed Dec 06 23:01:44 2000
317	3131	Mon Dec 04 22:46:09 2000
316	3125	Sun Dec 03 23:10:37 2000
315	3101	Sun Dec 03 01:02:29 2000
314	3099	Sun Dec 03 00:28:54 2000
313	3096	Sat Dec 02 22:21:08 2000
312	3090	Sat Dec 02 15:34:19 2000
311	3062	Sun Nov 26 12:58:42 2000
310	3030	Sat Nov 25 23:00:17 2000
309	3008	Sun Nov 19 18:20:50 2000
308	2990	Sun Oct 29 13:19:29 2000
